Epoch, Average Loss, Average Accuracy, Average Precision, Average Recall, Average F1 Score
0, 6.23100, 0.742, 0.642, 0.760, 0.692
1, 1.81868, 0.841, 0.770, 0.851, 0.808
2, 0.88443, 0.863, 0.809, 0.853, 0.830
3, 0.53383, 0.879, 0.838, 0.858, 0.848
4, 0.41234, 0.889, 0.853, 0.866, 0.859
5, 0.35390, 0.895, 0.863, 0.871, 0.867
6, 0.31841, 0.900, 0.872, 0.873, 0.873
7, 0.29788, 0.903, 0.880, 0.873, 0.876
8, 0.28273, 0.905, 0.884, 0.874, 0.879
9, 0.27173, 0.908, 0.888, 0.875, 0.881
10, 0.26419, 0.909, 0.891, 0.876, 0.884
11, 0.25727, 0.911, 0.893, 0.878, 0.885
12, 0.25205, 0.911, 0.895, 0.878, 0.886
13, 0.24808, 0.913, 0.897, 0.878, 0.888
14, 0.24442, 0.913, 0.899, 0.878, 0.888
15, 0.24073, 0.914, 0.900, 0.879, 0.889
16, 0.23680, 0.915, 0.902, 0.880, 0.891
17, 0.23409, 0.916, 0.902, 0.882, 0.891
18, 0.22943, 0.917, 0.903, 0.883, 0.893
19, 0.22890, 0.917, 0.904, 0.882, 0.893
20, 0.22371, 0.918, 0.906, 0.884, 0.895
21, 0.22078, 0.919, 0.907, 0.885, 0.896
22, 0.21911, 0.920, 0.908, 0.886, 0.897
23, 0.21632, 0.921, 0.910, 0.887, 0.899
24, 0.21146, 0.923, 0.913, 0.889, 0.901
25, 0.20721, 0.925, 0.915, 0.892, 0.904
26, 0.20299, 0.927, 0.918, 0.895, 0.906
27, 0.19602, 0.930, 0.921, 0.899, 0.910
28, 0.19148, 0.932, 0.923, 0.902, 0.912
29, 0.18634, 0.934, 0.925, 0.906, 0.916
30, 0.18094, 0.937, 0.928, 0.909, 0.918
31, 0.17490, 0.939, 0.931, 0.913, 0.922
32, 0.16886, 0.942, 0.933, 0.919, 0.926
33, 0.16338, 0.944, 0.935, 0.922, 0.928
34, 0.15938, 0.946, 0.936, 0.926, 0.931
35, 0.15443, 0.948, 0.938, 0.930, 0.934
36, 0.14937, 0.950, 0.940, 0.933, 0.936
37, 0.14368, 0.952, 0.942, 0.936, 0.939
38, 0.13925, 0.954, 0.944, 0.940, 0.942
39, 0.13368, 0.956, 0.946, 0.944, 0.945
40, 0.12879, 0.959, 0.948, 0.947, 0.947
41, 0.12374, 0.960, 0.950, 0.950, 0.950
42, 0.11765, 0.963, 0.952, 0.953, 0.953
43, 0.11258, 0.965, 0.954, 0.956, 0.955
44, 0.10662, 0.967, 0.957, 0.959, 0.958
45, 0.10065, 0.969, 0.959, 0.962, 0.961
46, 0.09550, 0.971, 0.961, 0.965, 0.963
47, 0.09121, 0.973, 0.963, 0.967, 0.965
48, 0.08789, 0.974, 0.964, 0.969, 0.966
49, 0.08481, 0.975, 0.966, 0.970, 0.968
50, 0.08173, 0.975, 0.967, 0.971, 0.969
51, 0.07961, 0.977, 0.968, 0.972, 0.970
52, 0.07741, 0.977, 0.968, 0.973, 0.971
53, 0.07440, 0.978, 0.969, 0.974, 0.972
54, 0.07313, 0.978, 0.970, 0.975, 0.973
55, 0.07321, 0.978, 0.970, 0.975, 0.973
56, 0.06996, 0.979, 0.971, 0.977, 0.974
57, 0.06758, 0.980, 0.972, 0.978, 0.975
58, 0.06581, 0.981, 0.973, 0.978, 0.975
59, 0.06468, 0.981, 0.973, 0.978, 0.976
60, 0.06360, 0.981, 0.973, 0.979, 0.976
61, 0.06295, 0.981, 0.973, 0.979, 0.976
62, 0.06182, 0.982, 0.974, 0.980, 0.977
63, 0.05963, 0.982, 0.975, 0.980, 0.977
64, 0.05909, 0.982, 0.975, 0.981, 0.978
65, 0.05787, 0.983, 0.975, 0.981, 0.978
66, 0.05796, 0.983, 0.975, 0.981, 0.978
67, 0.05704, 0.983, 0.975, 0.982, 0.979
68, 0.05579, 0.983, 0.976, 0.982, 0.979
69, 0.05545, 0.983, 0.975, 0.983, 0.979
70, 0.05405, 0.984, 0.976, 0.983, 0.980
71, 0.05401, 0.984, 0.976, 0.983, 0.979
72, 0.05345, 0.984, 0.976, 0.983, 0.980
73, 0.05275, 0.984, 0.976, 0.984, 0.980
74, 0.05326, 0.984, 0.976, 0.984, 0.980
75, 0.05086, 0.985, 0.977, 0.985, 0.981
76, 0.05161, 0.985, 0.977, 0.984, 0.981
77, 0.05012, 0.985, 0.977, 0.985, 0.981
78, 0.04969, 0.985, 0.978, 0.985, 0.981
79, 0.05001, 0.985, 0.977, 0.985, 0.981
80, 0.04988, 0.985, 0.977, 0.985, 0.981
81, 0.04901, 0.985, 0.978, 0.985, 0.981
82, 0.04827, 0.986, 0.978, 0.986, 0.982
83, 0.04855, 0.985, 0.978, 0.985, 0.981
84, 0.04799, 0.986, 0.978, 0.986, 0.982
85, 0.04767, 0.986, 0.978, 0.986, 0.982
86, 0.04689, 0.986, 0.978, 0.986, 0.982
87, 0.04724, 0.986, 0.978, 0.986, 0.982
88, 0.04686, 0.986, 0.978, 0.986, 0.982
89, 0.04647, 0.986, 0.978, 0.986, 0.982
90, 0.04598, 0.986, 0.979, 0.986, 0.982
91, 0.04491, 0.987, 0.979, 0.987, 0.983
92, 0.04620, 0.986, 0.978, 0.987, 0.982
93, 0.04525, 0.986, 0.979, 0.987, 0.983
94, 0.04583, 0.986, 0.979, 0.986, 0.982
95, 0.04563, 0.986, 0.979, 0.987, 0.983
96, 0.05312, 0.984, 0.974, 0.984, 0.979
97, 0.04442, 0.987, 0.979, 0.987, 0.983
98, 0.04434, 0.987, 0.979, 0.987, 0.983
99, 0.04426, 0.987, 0.980, 0.987, 0.983
Test - Run 1, Accuracy: 0.996, Precision: 0.932, Recall: 0.998, F1 Score: 0.964

0, 3.92691, 0.715, 0.626, 0.842, 0.711
1, 0.80776, 0.846, 0.779, 0.852, 0.813
2, 0.48784, 0.869, 0.805, 0.879, 0.841
3, 0.38853, 0.884, 0.826, 0.892, 0.858
4, 0.33823, 0.891, 0.839, 0.895, 0.866
5, 0.30854, 0.898, 0.851, 0.897, 0.873
6, 0.28965, 0.901, 0.860, 0.895, 0.877
7, 0.27715, 0.904, 0.867, 0.892, 0.879
8, 0.26582, 0.907, 0.876, 0.891, 0.883
9, 0.25834, 0.909, 0.880, 0.890, 0.885
10, 0.25275, 0.910, 0.884, 0.888, 0.886
11, 0.24792, 0.912, 0.887, 0.888, 0.888
12, 0.24343, 0.913, 0.890, 0.887, 0.889
13, 0.24077, 0.913, 0.892, 0.887, 0.889
14, 0.23848, 0.914, 0.894, 0.886, 0.890
15, 0.23395, 0.915, 0.895, 0.887, 0.891
